Food code,Food,Category,Type,Calories (kcal/100g),Protein (g),Carbohydrate (g),Fat (g),Fiber (g),Sugars (g),Vitamin A (mcg),Vitamin B-6 (mg),Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg)
92510955,"Lemonade, fruit juice drink",Fruit drinks,Beverage,46,0.0,12.08,0.0,0.0,11.67,0,0.004,0.0,3.1,0.0,0.0
92510960,"Lemonade, fruit flavored drink",Fruit drinks,Beverage,25,0.0,6.55,0.07,0.0,6.5,0,0.0,0.0,2.7,0.0,0.0
92511250,"Fruit juice beverage, 40-50% juice, citrus",Fruit drinks,Beverage,46,0.34,11.4,0.03,0.1,8.12,2,0.019,0.0,27.0,0.0,0.06
92530410,"Fruit flavored drink, with high vitamin C",Fruit drinks,Beverage,27,0.0,6.67,0.0,0.0,5.0,0,0.0,0.0,25.0,0.0,0.0
92530510,"Cranberry juice drink, with high vitamin C",Fruit drinks,Beverage,54,0.0,13.52,0.1,0.0,11.87,0,0.0,0.0,42.3,0.0,0.22
92530610,"Fruit juice drink, with high vitamin C",Fruit drinks,Beverage,46,0.13,11.35,0.11,0.1,10.69,5,0.032,0.0,25.0,0.0,0.05
92530950,"Vegetable and fruit juice drink, with high vitamin C",Fruit drinks,Beverage,29,0.04,7.47,0.01,0.0,2.1,104,0.01,0.0,32.5,0.0,1.63
92531030,Fruit juice drink (Sunny D),Fruit drinks,Beverage,54,0.13,13.16,0.0,0.1,12.11,5,0.032,0.0,25.4,0.0,0.05
92541010,"Fruit flavored drink, powdered, reconstituted",Fruit drinks,Beverage,25,0.0,6.55,0.07,0.0,6.5,0,0.0,0.0,2.7,0.0,0.0
92542000,"Fruit flavored drink, with high vitamin C, powdered, reconstituted",Fruit drinks,Beverage,41,0.0,10.45,0.0,0.0,9.75,63,0.085,0.0,24.4,0.0,0.0
92550030,"Fruit juice drink, with high vitamin C, light",Fruit drinks,Beverage,19,0.1,4.7,0.0,0.1,4.6,0,0.019,0.0,32.0,0.0,0.27
92550035,"Fruit juice drink, light",Fruit drinks,Beverage,39,0.0,10.0,0.07,0.0,9.0,0,0.0,0.0,0.0,0.0,0.68
92550040,"Fruit juice drink, diet",Fruit drinks,Beverage,1,0.0,0.47,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0
92550110,"Cranberry juice drink, with high vitamin C, light",Fruit drinks,Beverage,19,0.1,4.7,0.0,0.1,4.6,0,0.019,0.0,32.0,0.0,0.27
92550200,"Grape juice drink, light",Fruit drinks,Beverage,21,0.13,5.17,0.05,0.1,4.97,0,0.011,0.0,8.8,0.0,0.0
92550350,"Orange juice beverage, 40-50% juice, light",Fruit drinks,Beverage,21,0.21,5.42,0.0,0.0,4.17,10,0.05,0.0,30.0,0.0,1.25
92550360,"Apple juice beverage, 40-50% juice, light",Fruit drinks,Beverage,22,0.0,5.1,0.1,0.0,4.8,0,0.018000000000000002,0.0,24.0,0.0,0.01
92550370,"Lemonade, fruit juice drink, light",Fruit drinks,Beverage,21,0.0,5.0,0.0,0.0,5.0,0,0.004,0.0,25.0,0.0,0.56
92550380,"Pomegranate juice beverage, 40-50% juice, light",Fruit drinks,Beverage,54,0.15,13.13,0.29,0.1,12.65,0,0.04,0.0,0.1,0.0,0.38
92550400,"Vegetable and fruit juice drink, with high vitamin C, diet",Diet drinks,Beverage,4,0.0,1.1,0.0,0.0,0.63,105,0.004,0.0,25.1,0.0,1.13
92550405,"Vegetable and fruit juice drink, with high vitamin C, light",Fruit drinks,Beverage,4,0.0,1.1,0.0,0.0,0.63,105,0.004,0.0,25.1,0.0,1.13
92550610,"Fruit flavored drink, with high vitamin C, diet",Diet drinks,Beverage,2,0.0,0.87,0.0,0.0,0.0,0,0.0,0.0,5.6,0.0,0.0
92550620,"Fruit flavored drink, diet",Diet drinks,Beverage,4,0.01,1.45,0.0,0.0,0.0,0,0.0,0.0,9.3,0.0,0.0
92552000,"Fruit flavored drink, with high vitamin C, powdered, reconstituted, diet",Diet drinks,Beverage,2,0.0,0.87,0.0,0.0,0.0,0,0.0,0.0,5.6,0.0,0.0
92552010,"Fruit flavored drink, powdered, reconstituted, diet",Diet drinks,Beverage,2,0.0,0.73,0.0,0.0,0.0,0,0.0,0.0,4.7,0.0,0.0
92552020,"Fruit juice drink, reduced sugar (Sunny D)",Fruit drinks,Beverage,2,0.0,0.95,0.0,0.0,0.0,63,0.084,0.0,25.1,0.0,0.0
92552030,Fruit juice drink (Capri Sun),Fruit drinks,Beverage,39,0.0,10.0,0.07,0.0,9.0,0,0.0,0.0,0.0,0.0,0.68
92582100,"Fruit juice drink, with high vitamin C, plus added calcium",Fruit drinks,Beverage,45,0.0,12.5,0.0,0.0,12.5,0,0.0,0.0,30.0,0.0,0.0
92582110,"Fruit juice drink, added calcium (Sunny D)",Fruit drinks,Beverage,53,0.0,13.2,0.0,0.1,8.02,21,0.02,0.0,24.0,0.0,0.04
92610020,"Horchata beverage, made with water",Grain drinks,Beverage,87,1.09,20.45,0.13,0.5,8.07,0,0.025,0.0,0.0,0.0,0.03
92610030,"Horchata beverage, made with milk",Grain drinks,Beverage,89,1.42,19.66,0.63,0.4,9.56,5,0.031,0.09,0.0,0.2,0.03
92611010,Oatmeal beverage with water,Grain drinks,Beverage,43,0.25,10.61,0.15,0.2,9.36,0,0.002,0.0,0.0,0.0,0.01
92611100,Oatmeal beverage with milk,Grain drinks,Beverage,81,1.74,15.49,1.59,0.2,13.97,14,0.027000000000000003,0.22,0.0,0.5,0.03
92613010,Cornmeal beverage,Grain drinks,Beverage,83,1.7,16.3,1.54,0.2,13.87,14,0.039,0.22,0.0,0.5,0.03
